date,time,open,high,low,close,volume
20260309,0659,314.0,314.0,314.0,314.0,25182
20260309,0700,314.0,314.14,313.62,313.65,48702
20260309,0701,313.65,313.84,313.62,313.62,16999
20260309,0702,313.77,314.14,313.5,313.55,29140
20260309,0703,313.55,313.73,313.55,313.73,25317
20260309,0704,313.57,313.84,313.55,313.56,58123
20260309,0705,313.56,313.7,312.16,313.27,155992
20260309,0706,313.27,313.27,312.5,312.58,26167
20260309,0707,312.52,312.6,312.51,312.58,30490
20260309,0708,312.58,313.48,312.58,313.26,50252
20260309,0709,313.48,316.85,313.28,314.74,124056
20260309,0710,315.0,315.9,314.5,315.0,40735
20260309,0711,314.99,315.86,314.5,315.84,32362
20260309,0712,315.74,315.84,315.0,315.48,5919
20260309,0713,315.47,315.58,315.19,315.58,3848
20260309,0714,315.47,315.95,315.47,315.93,14415
20260309,0715,315.92,315.99,315.5,315.9,38554
20260309,0716,315.92,315.99,315.55,315.98,24340
20260309,0717,315.98,316.0,315.5,315.79,28455
20260309,0718,315.79,316.0,315.79,315.97,15485
20260309,0719,315.82,316.0,315.81,315.9,17364
20260309,0720,315.82,315.9,315.81,315.88,895
20260309,0721,315.81,315.86,315.5,315.51,8005
20260309,0722,315.53,315.8,315.5,315.77,14207
20260309,0723,315.79,315.8,315.51,315.72,6322
20260309,0724,315.57,315.72,315.52,315.72,4593
20260309,0725,315.72,315.9,315.52,315.87,15701
20260309,0726,315.58,315.87,315.55,315.65,3688
20260309,0727,315.83,316.0,315.57,315.72,29697
20260309,0728,315.89,316.05,315.72,315.89,11034
20260309,0729,315.89,316.15,315.89,316.15,9257
20260309,0730,316.15,316.15,316.1,316.1,4697
20260309,0731,316.1,316.28,316.1,316.2,18243
20260309,0732,316.19,316.35,316.19,316.3,14450
20260309,0733,316.29,316.35,315.6,316.15,13038
20260309,0734,316.0,316.0,315.64,315.76,8779
20260309,0735,315.72,315.74,315.63,315.74,8971
20260309,0736,315.74,315.99,315.64,315.98,3983
20260309,0737,315.98,316.02,315.98,316.02,7215
20260309,0738,316.0,316.3,315.98,316.01,17473
20260309,0739,316.2,316.2,315.98,315.98,7328
20260309,0740,316.13,316.47,315.7,316.35,56052
20260309,0741,316.35,317.0,316.2,316.48,108597
20260309,0742,316.48,316.48,316.2,316.42,6853
20260309,0743,316.22,316.9,316.22,316.77,17713
20260309,0744,316.86,316.95,316.54,316.9,27547
20260309,0745,316.85,316.9,316.51,316.85,13482
20260309,0746,316.88,316.9,316.66,316.66,14324
20260309,0747,316.87,316.88,316.53,316.56,5209
20260309,0748,316.56,316.6,316.51,316.6,24283
20260309,0749,316.56,316.87,316.5,316.86,18240
20260309,0750,316.61,316.87,316.56,316.87,15283
20260309,0751,316.87,316.88,316.83,316.83,4222
20260309,0752,316.83,316.98,316.83,316.98,16741
20260309,0753,316.98,317.0,316.88,317.0,113102
20260309,0754,316.98,317.0,316.88,317.0,5842
20260309,0755,317.0,317.0,316.88,317.0,5934
20260309,0756,317.0,317.28,316.6,316.64,82263
20260309,0757,316.89,316.93,316.5,316.63,21480
20260309,0758,316.63,316.99,316.5,316.8,27411
20260309,0759,316.8,316.9,316.7,316.8,1595
20260309,0800,316.8,316.82,316.5,316.82,26275
20260309,0801,316.76,316.77,316.5,316.71,25482
20260309,0802,316.71,316.8,316.7,316.8,20199
20260309,0803,316.8,317.0,316.5,316.98,109425
20260309,0804,316.98,316.99,316.6,316.79,10132
20260309,0805,316.79,316.79,316.0,316.27,112091
20260309,0806,316.27,316.3,315.78,315.8,23100
20260309,0807,315.8,315.8,315.66,315.72,14583
20260309,0808,315.72,316.29,315.64,315.8,16463
20260309,0809,315.8,316.0,315.7,316.0,17925
20260309,0810,315.98,316.19,315.7,316.19,9016
20260309,0811,316.19,316.24,315.94,316.2,3818
20260309,0812,316.24,316.29,315.8,316.14,14491
20260309,0813,316.14,316.2,315.82,315.82,15107
20260309,0814,316.13,316.19,315.82,316.18,2538
20260309,0815,316.18,316.2,316.01,316.2,14509
20260309,0816,316.2,316.2,316.01,316.2,7328
20260309,0817,316.2,316.2,316.01,316.1,3022
20260309,0818,316.1,316.29,316.02,316.11,16044
20260309,0819,316.11,316.11,316.01,316.02,5599
20260309,0820,316.02,316.02,316.0,316.01,17092
20260309,0821,316.01,316.02,315.6,315.72,78852
20260309,0822,315.71,315.72,315.53,315.6,17929
20260309,0823,315.6,315.89,315.55,315.89,12759
20260309,0824,315.67,316.08,315.63,316.07,16590
20260309,0825,316.07,316.13,315.67,315.94,11666
20260309,0826,315.94,316.0,315.66,315.89,5558
20260309,0827,315.89,315.95,315.73,315.95,4313
20260309,0828,315.95,316.0,315.94,315.99,5827
20260309,0829,315.99,316.0,315.97,315.99,3699
20260309,0830,315.97,316.13,315.97,316.12,7128
20260309,0831,316.12,316.13,316.1,316.13,7316
20260309,0832,316.13,316.16,316.12,316.15,3425
20260309,0833,316.15,316.15,316.13,316.15,6846
20260309,0834,316.15,316.15,315.76,315.96,18479
20260309,0835,315.82,316.01,315.82,316.0,4459
20260309,0836,316.0,316.0,315.96,315.96,7714
20260309,0837,315.96,316.06,315.96,316.06,6699
20260309,0838,316.06,316.12,315.63,315.63,36446
20260309,0839,315.73,316.0,315.63,315.99,40049
20260309,0840,315.99,316.0,315.84,316.0,4067
20260309,0841,316.0,316.0,315.99,316.0,13437
20260309,0842,316.0,316.12,315.99,315.99,29042
20260309,0843,315.99,316.12,315.84,315.99,13055
20260309,0844,315.99,316.01,315.8,316.0,12355
20260309,0845,316.01,316.04,315.82,316.0,15657
20260309,0846,316.01,316.01,315.81,315.97,2960
20260309,0847,315.94,315.94,315.82,315.9,2637
20260309,0848,315.89,315.9,315.82,315.82,3645
20260309,0849,315.82,315.88,315.3,315.3,29524
20260309,0850,315.3,315.51,315.26,315.49,24223
20260309,0851,315.43,315.43,315.13,315.15,26009
20260309,0852,315.19,315.25,315.17,315.22,6417
20260309,0853,315.22,315.3,315.21,315.28,46326
20260309,0854,315.28,315.3,315.24,315.3,26200
20260309,0855,315.3,315.3,315.25,315.3,19468
20260309,0856,315.29,315.6,315.29,315.58,56731
20260309,0857,315.56,315.65,315.3,315.37,16832
20260309,0858,315.37,315.54,315.25,315.27,20903
20260309,0859,315.27,315.3,315.24,315.25,4414
20260309,0900,315.25,315.26,314.47,314.52,137559
20260309,0901,314.53,314.53,314.0,314.09,356624
20260309,0902,314.09,315.53,314.06,314.73,149656
20260309,0903,314.7,314.97,314.41,314.63,79299
20260309,0904,314.62,314.67,314.21,314.35,45273
20260309,0905,314.36,314.62,314.35,314.52,27752
20260309,0906,314.51,314.79,314.24,314.34,82881
20260309,0907,314.35,314.54,314.2,314.54,112129
20260309,0908,314.51,314.53,314.18,314.29,64879
20260309,0909,314.29,314.29,314.16,314.19,32890
20260309,0910,314.18,314.19,313.94,314.06,58814
20260309,0911,314.08,314.28,313.9,314.02,101411
20260309,0912,314.01,314.32,314.01,314.31,22371
20260309,0913,314.31,314.51,314.19,314.24,56099
20260309,0914,314.24,314.36,314.2,314.21,32501
20260309,0915,314.21,314.39,314.04,314.18,55765
20260309,0916,314.18,314.29,314.0,314.13,75013
20260309,0917,314.12,314.43,314.11,314.28,27360
20260309,0918,314.29,314.29,314.24,314.25,19698
20260309,0919,314.25,314.42,314.2,314.2,73874
20260309,0920,314.2,314.47,314.2,314.46,51853
20260309,0921,314.46,314.46,314.17,314.36,15752
20260309,0922,314.36,314.59,314.32,314.57,5902
20260309,0923,314.55,314.75,314.51,314.51,65741
20260309,0924,314.52,314.85,314.46,314.83,31192
20260309,0925,314.83,314.86,314.77,314.82,17573
20260309,0926,314.82,314.86,314.59,314.76,29888
20260309,0927,314.73,314.75,314.65,314.66,12190
20260309,0928,314.65,314.86,314.65,314.86,7663
20260309,0929,314.86,314.86,314.45,314.45,23611
20260309,0930,314.45,314.55,314.4,314.54,8219
20260309,0931,314.54,314.85,314.5,314.68,34332
20260309,0932,314.68,314.71,314.51,314.71,15751
